"0",,,,,,
"Scientific domain","Social and Human Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"27.301 €"
"Scientific domain","Social and Human Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"16.806 €"
"Scientific domain","Social and Human Sciences",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.4.4",
"Scientific domain","Social and Human Sciences",,"Category with
available data
in Eurostat",,"2.4",
"Scientific domain","Social and Human Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"46.657 €"
"Scientific domain","Social and Human Sciences",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"30.443 €"
"Scientific domain","Economics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"42.978 €"
"Scientific domain","Economics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"33.669 €"
"Scientific domain","Economics",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.4.1",
"Scientific domain","Economics",,"Category with
available data
in Eurostat",,"2.4",
"Scientific domain","Economics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"46.657 €"
"Scientific domain","Economics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"30.443 €"
"Scientific domain","Chemistry",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"39.091 €"
"Scientific domain","Chemistry",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"20.296 €"
"Scientific domain","Chemistry",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.1",
"Scientific domain","Chemistry",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Chemistry",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Chemistry",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
"Scientific domain","Physics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"27.197 €"
"Scientific domain","Physics",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"16.067 €"
"Scientific domain","Physics",,"Equivalent(s)
profession(s)
defined by
ISCO
classification",,"2.1.1",
"Scientific domain","Physics",,"Category with
available data
in Eurostat",,"2.1",
"Scientific domain","Physics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Male",,"42.138 €"
"Scientific domain","Physics",,"Total Yearly Salary Costs of
similar professions (data
from Eurostat)","Female",,"31.056 €"
"Scientific domain","Life Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Male",,"36.523 €"
"Scientific domain","Life Sciences",,"Total Yearly Salary Costs of
Researchers (data from the
study)","Female",,"22.139 €"
