"0",,,,,,,
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"1.112.216 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Median
Annual
Salary",,"67.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Total in
Head count",,"896.279 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Median
Annual
Salary",,"70.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Total in
Head count",,"2.008.496 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Computer and Mathematical scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Median
Annual
Salary",,"70.000,00"
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"115.467 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Median
Annual
Salary",,"46.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Total in
Head count",,"328.303 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Median
Annual
Salary",,"50.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Total in
Head count",,"443.770 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Biological, agricultural and other life scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Median
Annual
Salary",,"49.000,00"
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"97.549 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Median
Annual
Salary",,"52.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Total in
Head count",,"217.514 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Median
Annual
Salary",,"60.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Total in
Head count",,"315.063 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Physical and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Median
Annual
Salary",,"58.000,00"
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"272.423 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Median
Annual
Salary",,"50.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Total in
Head count",,"222.161 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Median
Annual
Salary",,"50.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Total in
Head count",,"494.584 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Social and related scientists",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Median
Annual
Salary",,"50.000,00"
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"530.560 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Median
Annual
Salary",,"73.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Total in
Head count",,"1.024.296 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","YES","Median
Annual
Salary",,"73.000,00 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Total in
Head count",,"1.554.857 "
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","Engineers",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","TOTAL","Median
Annual
Salary",,"73.000,00"
"PRINCIPAL JOB AND HIGHEST LEVEL OF
EDUCATIONAL ATTAINMENT","S&E related occupations",,"PRIMARY OR SECONDARY WORK ACTIVITY ON PRINCIPAL JOB IS
R&D?","NO","Total in Head
count",,"4.284.498 "
