"0",,,,,,
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................",,"2003",,"1,029.8",
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................",,"2004 estimate",,"1,009.2",
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................",,"2005 estimate",,"1,210.1",
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Personal current taxes ......................................................................................................................................................................................................",,"2003",,"(781.7)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Personal current taxes ......................................................................................................................................................................................................",,"2004 estimate",,"(721.0)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Personal current taxes ......................................................................................................................................................................................................",,"2005 estimate",,"(850.4)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on production and imports .....................................................................................................................................................................................",,"2003",,"(90.3)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on production and imports .....................................................................................................................................................................................",,"2004 estimate",,"(97.4)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on production and imports .....................................................................................................................................................................................",,"2005 estimate",,"(97.0)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on corporate income ..............................................................................................................................................................................................",,"2003",,"(151.0)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on corporate income ..............................................................................................................................................................................................",,"2004 estimate",,"(184.1)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes on corporate income ..............................................................................................................................................................................................",,"2005 estimate",,"(256.0)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes from the rest of the world ......................................................................................................................................................................................",,"2003",,"(6.8)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes from the rest of the world ......................................................................................................................................................................................",,"2004 estimate",,"(6.7)"
"Current Receipts","Current tax receipts ...............................................................................................................................................................................................................","Taxes from the rest of the world ......................................................................................................................................................................................",,"2005 estimate",,"(6.7)"
"Current Receipts","Contributions for gov. social insurance ................................................................................................................................................................................",,"2003",,"749.8",
"Current Receipts","Contributions for gov. social insurance ................................................................................................................................................................................",,"2004 estimate",,"788.0",
"Current Receipts","Contributions for gov. social insurance ................................................................................................................................................................................",,"2005 estimate",,"846.7",
"Current Receipts","Income receipts on assets ....................................................................................................................................................................................................",,"2003",,"21.4",
"Current Receipts","Income receipts on assets ....................................................................................................................................................................................................",,"2004 estimate",,"23.6",
"Current Receipts","Income receipts on assets ....................................................................................................................................................................................................",,"2005 estimate",,"24.0",
"Current Receipts","Current transfer receipts ........................................................................................................................................................................................................",,"2003",,"26.3",
"Current Receipts","Current transfer receipts ........................................................................................................................................................................................................",,"2004 estimate",,"27.7",
"Current Receipts","Current transfer receipts ........................................................................................................................................................................................................",,"2005 estimate",,"30.0",
"Current Receipts","Current surplus of government enterprises ..........................................................................................................................................................................",,"2003",,"2.9",
"Current Receipts","Current surplus of government enterprises ..........................................................................................................................................................................",,"2004 estimate",,"–0.6",
"Current Receipts","Current surplus of government enterprises ..........................................................................................................................................................................",,"2005 estimate",,"–1.4",
"Total current receipts .....................................................................................................................................................................................................",,"2003",,"1,830.2",,
"Total current receipts .....................................................................................................................................................................................................",,"2004 estimate",,"1,847.9",,
"Total current receipts .....................................................................................................................................................................................................",,"2005 estimate",,"2,109.5",,
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................",,"2003",,"640.3",
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................",,"2004 estimate",,"706.1",
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................",,"2005 estimate",,"712.3",
"Current Expenditures","Consumption expenditures ....................................................................................................................................................................................................","Defense .............................................................................................................................................................................................................................",,"2003",,"(424.8)"
