"0",,,,
"NSF",,"2008 Actual",,"409"
"NSF",,"2009 Estimate",,"397"
"NSF",,"2009 Recovery*",,"108"
"NSF",,"2010 Proposed",,"423"
"DOD**",,"2008 Actual",,"460"
"DOD**",,"2009 Estimate",,"464"
"DOD**",,"2009 Recovery*",,"null"
"DOD**",,"2010 Proposed",,"379"
"DOE***",,"2008 Actual",,"245"
"DOE***",,"2009 Estimate",,"337"
"DOE***",,"2009 Recovery*",,"25"
"DOE***",,"2010 Proposed",,"351"
"DHHS (NIH)****",,"2008 Actual",,"305"
"DHHS (NIH)****",,"2009 Estimate",,"311"
"DHHS (NIH)****",,"2009 Recovery*",,"null"
"DHHS (NIH)****",,"2010 Proposed",,"326"
"DOC (NIST)",,"2008 Actual",,"86"
"DOC (NIST)",,"2009 Estimate",,"87"
"DOC (NIST)",,"2009 Recovery*",,"7"
"DOC (NIST)",,"2010 Proposed",,"91"
"EPA",,"2008 Actual",,"12"
"EPA",,"2009 Estimate",,"16"
"EPA",,"2009 Recovery*",,"null"
"EPA",,"2010 Proposed",,"18"
"NASA",,"2008 Actual",,"17"
"NASA",,"2009 Estimate",,"17"
"NASA",,"2009 Recovery*",,"null"
"NASA",,"2010 Proposed",,"17"
"DHHS (NIOSH)",,"2008 Actual",,"7"
"DHHS (NIOSH)",,"2009 Estimate",,"7"
"DHHS (NIOSH)",,"2009 Recovery*",,"null"
"DHHS (NIOSH)",,"2010 Proposed",,"12"
"DHS",,"2008 Actual",,"3"
"DHS",,"2009 Estimate",,"9"
"DHS",,"2009 Recovery*",,"null"
"DHS",,"2010 Proposed",,"12"
"USDA (FS)",,"2008 Actual",,"5"
"USDA (FS)",,"2009 Estimate",,"5"
"USDA (FS)",,"2009 Recovery*",,"null"
"USDA (FS)",,"2010 Proposed",,"5"
"USDA (CSREES)",,"2008 Actual",,"6"
"USDA (CSREES)",,"2009 Estimate",,"3"
"USDA (CSREES)",,"2009 Recovery*",,"null"
"USDA (CSREES)",,"2010 Proposed",,"3"
"DOT (FHWA)",,"2008 Actual",,"1"
"DOT (FHWA)",,"2009 Estimate",,"3"
"DOT (FHWA)",,"2009 Recovery*",,"null"
"DOT (FHWA)",,"2010 Proposed",,"3"
"DOJ",,"2008 Actual",,"0"
"DOJ",,"2009 Estimate",,"0"
"DOJ",,"2009 Recovery*",,"null"
"DOJ",,"2010 Proposed",,"0"
"TOTAL*****",,"2009 Actual",,"1,554"
"TOTAL*****",,"2009 Recovery*",,"1,657"
"TOTAL*****",,"2010 Estimated",,"140"
"TOTAL*****",,"2011 Proposed",,"1,640"
