"0",,,,,
"IC","NHLBI ",,"Awards ",,"223 "
"IC","NHLBI ",,"Funding",,"$11,970,198"
"IC","NCMHD ",,"Awards ",,"244 "
"IC","NCMHD ",,"Funding",,"$10,658,411 "
"IC","NCI",,"Awards ",,"170 "
"IC","NCI",,"Funding",,"$8,156,562 "
"IC","NIAID ",,"Awards ",,"138 "
"IC","NIAID ",,"Funding",,"$5,627,445 "
"IC","NICHD ",,"Awards ",,"128 "
"IC","NICHD ",,"Funding",,"$5,220,631 "
"IC","NIMH ",,"Awards ",,"120 "
"IC","NIMH ",,"Funding",,"$5,026,938 "
"IC","NIDDK ",,"Awards ",,"82 "
"IC","NIDDK ",,"Funding",,"$4,011,050 "
"IC","NIDA ",,"Awards ",,"89 "
"IC","NIDA ",,"Funding",,"$3,495,214 "
"IC","NCRR ",,"Awards ",,"59 "
"IC","NCRR ",,"Funding",,"$2,896,492 "
"IC","NINDS ",,"Awards ",,"54 "
"IC","NINDS ",,"Funding",,"$2,599,840 "
"IC","NIA ",,"Awards ",,"64 "
"IC","NIA ",,"Funding",,"$2,491,375 "
"IC","NIAMS ",,"Awards ",,"39 "
"IC","NIAMS ",,"Funding",,"$1,743,459 "
"IC","NEI ",,"Awards ",,"37 "
"IC","NEI ",,"Funding",,"$1,692,052 "
"IC","NIAAA ",,"Awards ",,"47 "
"IC","NIAAA ",,"Funding",,"$1,580,848 "
"IC","NIDCD ",,"Awards ",,"35 "
"IC","NIDCD ",,"Funding",,"$1,065,249 "
"IC","NIGMS ",,"Awards ",,"11 "
"IC","NIGMS ",,"Funding",,"$725,236 "
"IC","NIDCR ",,"Awards ",,"16 "
"IC","NIDCR ",,"Funding",,"$706,221"
"IC","NCCAM ",,"Awards ",,"8 "
"IC","NCCAM ",,"Funding",,"$524,951"
"IC","NIEHS ",,"Awards ",,"16 "
"IC","NIEHS ",,"Funding",,"$463,960"
"IC","NLM ",,"Awards ",,"5 "
"IC","NLM ",,"Funding",,"$365,123"
"IC","NHGRI ",,"Awards ",,"7 "
"IC","NHGRI ",,"Funding",,"$239,385"
"IC","NIBIB ",,"Awards ",,"4 "
"IC","NIBIB ",,"Funding",,"$114,761"
"IC","FIC ",,"Awards ",,"1 "
"IC","FIC ",,"Funding",,"$106,057"
"IC","NINR ",,"Awards ",,"3 "
"IC","NINR ",,"Funding",,"$59,330"
"Total",,"Awards",,"1,600 ",
"Total",,"Funding",,"$71,540,788",
,,,,,
"1",,,,,
"LRP ","Clinical Research ",,"MD ",,"503 "
"LRP ","Clinical Research ",,"MD/PhD ",,"86 "
"LRP ","Clinical Research ",,"PhD ",,"317 "
"LRP ","Clinical Research ",,"*Other ",,"36 "
"LRP ","Clinical Research ",,"Total",,"942"
"LRP ","Pediatric Research ",,"MD ",,"213 "
"LRP ","Pediatric Research ",,"MD/PhD ",,"43 "
"LRP ","Pediatric Research ",,"PhD ",,"113 "
"LRP ","Pediatric Research ",,"*Other ",,"24 "
"LRP ","Pediatric Research ",,"Total",,"393"
"LRP ","Health Disparities Research",,"MD ",,"42 "
"LRP ","Health Disparities Research",,"MD/PhD ",,"2 "
"LRP ","Health Disparities Research",,"PhD ",,"145 "
"LRP ","Health Disparities Research",,"*Other ",,"20"
"LRP ","Health Disparities Research",,"Total",,"209"
"LRP ","Clinical Research DB ",,"MD ",,"24 "
"LRP ","Clinical Research DB ",,"MD/PhD ",,"1 "
"LRP ","Clinical Research DB ",,"PhD ",,"6 "
"LRP ","Clinical Research DB ",,"*Other ",,"4 "
"LRP ","Clinical Research DB ",,"Total",,"35"
"LRP ","Contraception and Infertility Research",,"MD ",,"8 "
"LRP ","Contraception and Infertility Research",,"MD/PhD ",,"1 "
"LRP ","Contraception and Infertility Research",,"PhD ",,"10 "
"LRP ","Contraception and Infertility Research",,"*Other ",,"2 "
"LRP ","Contraception and Infertility Research",,"Total",,"21"
"Total:",,"MD ",,"790 ",
"Total:",,"MD/PhD ",,"133 ",
"Total:",,"PhD ",,"591 ",
"Total:",,"*Other ",,"86 ",
"Total:",,"Total",,"1600",
