,,,,,"0",,,,,
,,,,,"Payroll Period","Weekly",,"One Withholding
Allowance
",,"$ 71.15
"
,,,,,"Payroll Period","Biweekly ",,"One Withholding
Allowance
",,"142.31
"
,,,,,"Payroll Period","Semimonthly ",,"One Withholding
Allowance
",,"154.17
"
,,,,,"Payroll Period","Monthly ",,"One Withholding
Allowance
",,"308.33
"
,,,,,"Payroll Period","Quarterly ",,"One Withholding
Allowance
",,"925.00
"
,,,,,"Payroll Period","Semiannually ",,"One Withholding
Allowance
",,"1,850.00
"
,,,,,"Payroll Period","Annually ",,"One Withholding
Allowance
",,"3,700.00
"
,,,,,"Payroll Period","Daily or Miscellaneous
(each day of the payroll period)
",,"One Withholding
Allowance
",,"14.23"
,,,,,,,,,,
,,,,,"2",,,,,
,,,,,"Payroll Period","Weekly",,"Add Additional",,"$ 40.40"
,,,,,"Payroll Period","Biweekly ",,"Add Additional",,"80.80"
,,,,,"Payroll Period","Semimonthly ",,"Add Additional",,"87.50"
,,,,,"Payroll Period","Monthly ",,"Add Additional",,"175.00"
,,,,,"Payroll Period","Quarterly ",,"Add Additional",,"525.00"
,,,,,"Payroll Period","Semiannually ",,"Add Additional",,"1,050.00"
,,,,,"Payroll Period","Annually ",,"Add Additional",,"2,100.00"
,,,,,"Payroll Period","Daily or Miscellaneous
(each day of the payroll period)
",,"Add Additional",,"8.10"
