,,,,,"0",,,,,,
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1 to 25",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","1"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1 to 25",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1 to 25",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"0",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","26 to 50",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","2"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","26 to 50",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","26 to 50",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","51 to 75",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","3"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","51 to 75",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","51 to 75",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"2",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","76 to 100",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","4"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","76 to 100",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","76 to 100",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"3",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","101 to 150",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","5"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","101 to 150",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","101 to 150",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"4",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","151 to 200",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","6"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","151 to 200",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","151 to 200",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"5",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","201 to 300",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","7"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","201 to 300",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","201 to 300",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"6",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","301 to 400",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","8"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","301 to 400",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","301 to 400",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"7",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","401 to 500",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","9"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","401 to 500",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"2",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","401 to 500",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"7",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","501 to 1000",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A","2% of total
parking provided
in each lot
"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","501 to 1000",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1/8 of Column A* 
",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","501 to 1000",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"7/8 of Column A**
",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1001 and over",,"Total Minimum
Number of
Accessible
Parking Spaces
(60” & 96” aisles)
",,"Column A
","20 plus 1 for
each 100
over 1000
"
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1001 and over",,"Van Accessible 
Parking Spaces 
with min. 96” 
  wide access 
  aisle 
",,"1/8 of Column A* 
",
,,,,,"Total Number
of Parking
Spaces
Provided
(per lot)
","1001 and over",,"Accessible
Parking
Spaces with
min. 60” wide
 access aisle
",,"7/8 of Column A**
",
