"0",,,,,,,,,
"FAC Class ","Operation & Training ",,"Area","United States",,"Owned","Count",,"2,137 "
"FAC Class ","Operation & Training ",,"Area","United States",,"Owned","PRV($M)",,"6,193.31 "
"FAC Class ","Operation & Training ",,"Area","United States",,"Leased","Count",,"14"
"FAC Class ","Operation & Training ",,"Area","United States",,"Leased","PRV($M)",,"3.69"
"FAC Class ","Operation & Training ",,"Area","United States",,"Other","Count",,"17 "
"FAC Class ","Operation & Training ",,"Area","United States",,"Other","PRV($M)",,"23.01 "
"FAC Class ","Operation & Training ",,"Area","United States",,"DoD Total","Count",,"2,168 "
"FAC Class ","Operation & Training ",,"Area","United States",,"DoD Total","PRV($M)",,"6,220.02"
"FAC Class ","Operation & Training ",,"Area","Territories",,"Owned","Count",,"46 "
"FAC Class ","Operation & Training ",,"Area","Territories",,"Owned","PRV($M)",,"534.18 "
"FAC Class ","Operation & Training ",,"Area","Territories",,"Leased","Count",,
"FAC Class ","Operation & Training ",,"Area","Territories",,"Leased","PRV($M)",,
"FAC Class ","Operation & Training ",,"Area","Territories",,"Other","Count",,"1 "
"FAC Class ","Operation & Training ",,"Area","Territories",,"Other","PRV($M)",,"0.01 "
"FAC Class ","Operation & Training ",,"Area","Territories",,"DoD Total","Count",,"47 "
"FAC Class ","Operation & Training ",,"Area","Territories",,"DoD Total","PRV($M)",,"534.19"
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Owned","Count",,"362 "
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Owned","PRV($M)",,"1,095.07 "
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Leased","Count",,
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Leased","PRV($M)",,
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Other","Count",,"151 "
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"Other","PRV($M)",,"1,506.09 "
"FAC Class ","Operation & Training ",,"Area","Overseas ",,"DoD Total","Count",,"513 "
