"0",,,,,
"Region ","W. Europe ",,"1997",,"126"
"Region ","W. Europe ",,"1998",,"151"
"Region ","W. Europe ",,"1999",,"179"
"Region ","W. Europe ",,"2000",,"200"
"Region ","W. Europe ",,"2001",,"~ 225"
"Region ","W. Europe ",,"2002",,"~ 400"
"Region ","W. Europe ",,"2003",,"~ 650"
"Region ","W. Europe ",,"2004",,"~ 950"
"Region ","W. Europe ",,"2005",,"1,050"
"Region ","Japan ",,"1997",,"120"
"Region ","Japan ",,"1998",,"135"
"Region ","Japan ",,"1999",,"157"
"Region ","Japan ",,"2000",,"245"
"Region ","Japan ",,"2001",,"~ 465"
"Region ","Japan ",,"2002",,"~ 720"
"Region ","Japan ",,"2003",,"~ 800"
"Region ","Japan ",,"2004",,"~ 900"
"Region ","Japan ",,"2005",,"950"
"Region ","USA* ",,"1997",,"116**"
"Region ","USA* ",,"1998",,"190**"
"Region ","USA* ",,"1999",,"255**"
"Region ","USA* ",,"2000",,"270**"
"Region ","USA* ",,"2001",,"465**"
"Region ","USA* ",,"2002",,"697**"
"Region ","USA* ",,"2003",,"863**"
"Region ","USA* ",,"2004",,"~ 989"
"Region ","USA* ",,"2005",,"1,081"
"Region ","Others ",,"1997",,"70"
"Region ","Others ",,"1998",,"83"
"Region ","Others ",,"1999",,"96"
"Region ","Others ",,"2000",,"110"
"Region ","Others ",,"2001",,"~ 380"
"Region ","Others ",,"2002",,"~ 550"
"Region ","Others ",,"2003",,"~ 800"
"Region ","Others ",,"2004",,"~ 900"
"Region ","Others ",,"2005",,"1,000"
"Total 
(% of 1997)",,"1997",,"432
(100%)",
"Total 
(% of 1997)",,"1998",,"559
(129%)",
"Total 
(% of 1997)",,"1999",,"687
(159%)",
"Total 
(% of 1997)",,"2000",,"825
(191%)",
"Total 
(% of 1997)",,"2001",,"1,535
(355%)",
"Total 
(% of 1997)",,"2002",,"2,367432
(547%)",
"Total 
(% of 1997)",,"2003",,"3,113
(720%)",
"Total 
(% of 1997)",,"2004",,"3,379
(866%)",
"Total 
(% of 1997)",,"2005",,"4,081
(945%)",
